"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2,R4,R5,R3";"0603R";5;"10k";;;
2;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
3;",,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";23;"";;;
4;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
5;"U1";"MQ";1;"MQ-X";;;
6;"C4";"0603C";1;"100n";;;
7;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
8;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
9;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
10;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
11;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
12;"G***";"Symbol-Front-Air-Quality";1;"LOGO";;;
13;"C1,C2";"0805C";2;"CL10A226MPCNUBE";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"U4";"SOIC-14";1;"ATTINY404-SSNR";;;
16;"C3";"0805C";1;"C1608X7S1A475K080AC";;;
17;"H2,H3,H1,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
18;"U3";"tps613222a";1;"TPS613222A";;;
19;"D1";"0402LED";1;"purple";;;
20;"U2";"SOT-363";1;"NMOS-DUAL";;;
21;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
22;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
23;"R6";"0402R";1;"2k2";;;
24;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
25;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
